They do not!	They do to!
Oh!  That will be sent after him.  I have a fancy to look into that red box which contains his papers, you say; and at noon, after parade, shall be at the inn.  You will not say a word to any one there regarding the affair, and will wait for me at the Chevalier's rooms until my arrival.  We must force that box.  You are a clumsy hound, or you would have got the key long ago.	And his baggage?
And his baggage?	You say he drives after breakfast and before dinner.  When he comes out to his carriage a couple of gendarmes will mount the box, and the coachman will get his orders to move on.
You say he drives after breakfast and before dinner.  When he comes out to his carriage a couple of gendarmes will mount the box, and the coachman will get his orders to move on.	Not yet, but I believe he intends to.
Not yet, but I believe he intends to.	Has he sent the challenge yet?
Has he sent the challenge yet?	I am not sure.  The Prince told him quite clearly that if he wished to have the money, he would have to fight for it.
I am not sure.  The Prince told him quite clearly that if he wished to have the money, he would have to fight for it.	What are the Chevalier's intentions?
What are the Chevalier's intentions?	I had thought you more expert.  You must find out if the Chevalier cheats.  He sees the English and Austrian envoys continually, and the young men of either ministry sup repeatedly at his house.  Find out what they talk of, for how much each plays, especially if any of them play on parole.  If you are able to, read his private letters, though about those which go to the post, you need not trouble yourself -- we look at them there.  But never see him write a note without finding out to whom it goes, and by what channel or messenger.  He sleeps with the keys of his dispatch-box with a string around his neck -- twenty frederics, if you get an impression of the keys.
I had thought you more expert.  You must find out if the Chevalier cheats.  He sees the English and Austrian envoys continually, and the young men of either ministry sup repeatedly at his house.  Find out what they talk of, for how much each plays, especially if any of them play on parole.  If you are able to, read his private letters, though about those which go to the post, you need not trouble yourself -- we look at them there.  But never see him write a note without finding out to whom it goes, and by what channel or messenger.  He sleeps with the keys of his dispatch-box with a string around his neck -- twenty frederics, if you get an impression of the keys.	Only a very little, as soldiers do.
Only a very little, as soldiers do.	You are a Hungarian; you served in the army, and left on account of weakness in the loins.  He gambles a great deal, and wins.  Do you know the cards well?
You are a Hungarian; you served in the army, and left on account of weakness in the loins.  He gambles a great deal, and wins.  Do you know the cards well?	There is lately come to Berlin a gentleman in the service of the Empress Queen, who calls himself the Chevalier de Belle Fast, and wears the red riband and star of the pope's order of the Spur.  He is made for good society, polished, obliging, a libertine, without prejudices, fond of women, of good food, of high play, prudent and discreet.
There is lately come to Berlin a gentleman in the service of the Empress Queen, who calls himself the Chevalier de Belle Fast, and wears the red riband and star of the pope's order of the Spur.  He is made for good society, polished, obliging, a libertine, without prejudices, fond of women, of good food, of high play, prudent and discreet.	What is the service, sir?
What is the service, sir?	Your loyalty to me and your service to the regiment has pleased me very well -- and now there is another occasion on which you may make yourself useful to us; if you succeed, depend on it, your reward will be your discharge from the army, and a bounty of 100 guineas.
Your loyalty to me and your service to the regiment has pleased me very well -- and now there is another occasion on which you may make yourself useful to us; if you succeed, depend on it, your reward will be your discharge from the army, and a bounty of 100 guineas.	The captain was the nephew and heir of the Minister of Police, Herr Galgenstein, a relationship which, no doubt, aided in the younger gentlemen's promotion.
The captain was the nephew and heir of the Minister of Police, Herr Galgenstein, a relationship which, no doubt, aided in the younger gentlemen's promotion.	How do you do, sir?
How do you do, sir?	Good morning, Private James.  Please come in.  I should like you to meet my uncle, Herr Minister of Police Galgenstein.
Good morning, Private James.  Please come in.  I should like you to meet my uncle, Herr Minister of Police Galgenstein.	Neither!
Neither!	It's a lie!  You're a deserter! You're an impostor, sir; Your lies and folly have confirmed this to me. You pretend to carry dispatches to a general who has been dead these ten months; you have an uncle who is an ambassador and whose name you don't know.  Will you join and take the bounty, sir, or will you be given up?
It's a lie!  You're a deserter! You're an impostor, sir; Your lies and folly have confirmed this to me. You pretend to carry dispatches to a general who has been dead these ten months; you have an uncle who is an ambassador and whose name you don't know.  Will you join and take the bounty, sir, or will you be given up?	Sir, I'm a British officer.
Sir, I'm a British officer.	I have acted as I think fit.
I have acted as I think fit.	Upon my word, sir, I think you have acted very coolly.
Upon my word, sir, I think you have acted very coolly.	It was my joke.  I was tired, and did not care to go farther.  There's not prettier woman here than that. If she won't suit your fancy, my friend, then you must wait awhile.
It was my joke.  I was tired, and did not care to go farther.  There's not prettier woman here than that. If she won't suit your fancy, my friend, then you must wait awhile.	Where's the beauty you promised me?
Where's the beauty you promised me?	The people are great farmers, as well as inn-keepers.
The people are great farmers, as well as inn-keepers.	The place seems more a farm than an inn-yard.
The place seems more a farm than an inn-yard.	Ah!  You sly rogue, I see that will influence you.
Ah!  You sly rogue, I see that will influence you.	Do you want to see the loveliest woman in Europe?
Do you want to see the loveliest woman in Europe?	This may be a very good inn for Germany, but it would not pass in old Ireland.  Corbach is only a league off, let us push on for Corbach.
This may be a very good inn for Germany, but it would not pass in old Ireland.  Corbach is only a league off, let us push on for Corbach.	This is a very good inn.  Shall we stop for dinner?
This is a very good inn.  Shall we stop for dinner?	Oh, yes, of course, Ambassador O'Grady...
Oh, yes, of course, Ambassador O'Grady...	O'Grady.
O'Grady.	What is your uncle's name?
What is your uncle's name?	My companion treated me with great civility, and asked me a thousand questions about England, which I answered as best I might.  But this best, I am bound to say, was bad enough.  I knew nothing about England, and I invented a thousand stories which I told him; described the king and the ministers to him, said the British ambassador in Berlin was my uncle, and promised my acquaintance a letter of recommendation to him.
My companion treated me with great civility, and asked me a thousand questions about England, which I answered as best I might.  But this best, I am bound to say, was bad enough.  I knew nothing about England, and I invented a thousand stories which I told him; described the king and the ministers to him, said the British ambassador in Berlin was my uncle, and promised my acquaintance a letter of recommendation to him.	He has paid off your uncle's mortgage.  He gave Dorothy a coach- and-six.  That coward of a fellow has been making of your uncle's family.  Faith, the business was well done.  Your cousins, Michael and Harry, never let him out of their sight, though he was for deserting to England, until the marriage was completed, and the happy couple off on their road to Dublin.  Are you in want of cash, my boy?  You may draw upon me, for I got a couple of hundred out of Master Best for my share and, while they last, you shall never want.
He has paid off your uncle's mortgage.  He gave Dorothy a coach- and-six.  That coward of a fellow has been making of your uncle's family.  Faith, the business was well done.  Your cousins, Michael and Harry, never let him out of their sight, though he was for deserting to England, until the marriage was completed, and the happy couple off on their road to Dublin.  Are you in want of cash, my boy?  You may draw upon me, for I got a couple of hundred out of Master Best for my share and, while they last, you shall never want.	The coward!
The coward!	No, the very same one, my boy.  He recovered from his wound.  The ball you hit him with was not likely to hurt him.  It was only made of tow. Do you think the Dugans would let you kill fifteen hundred a-year out of the family?  The plan of the duel was all arranged in order to get you out of the way, for the cowardly Englishman could never be brought to marry from fear of you.  But hit him you certainly did, Roderick, and with a fine thick plugget of tow, and the fellow was so frightened that he was an hour in coming to. We told your mother the story afterwards, and a pretty scene she made.
No, the very same one, my boy.  He recovered from his wound.  The ball you hit him with was not likely to hurt him.  It was only made of tow. Do you think the Dugans would let you kill fifteen hundred a-year out of the family?  The plan of the duel was all arranged in order to get you out of the way, for the cowardly Englishman could never be brought to marry from fear of you.  But hit him you certainly did, Roderick, and with a fine thick plugget of tow, and the fellow was so frightened that he was an hour in coming to. We told your mother the story afterwards, and a pretty scene she made.	Mrs. John Best!  Was there another Mr. John Best?!
Mrs. John Best!  Was there another Mr. John Best?!	She took on so at your going away that she was obliged to console herself with a husband.  She is now Mrs. John Best.
She took on so at your going away that she was obliged to console herself with a husband.  She is now Mrs. John Best.	Good heavens!  Whatever?  Has she died of grief?
Good heavens!  Whatever?  Has she died of grief?	There's only six Miss Dugans now... poor Dorothy.
There's only six Miss Dugans now... poor Dorothy.	Is Miss Dugan well?
Is Miss Dugan well?	I see you are thinking of a certain young lady at Duganstown.
I see you are thinking of a certain young lady at Duganstown.	We must write to her today, and you can tell her that you are safe and married to "Brown Bess."
We must write to her today, and you can tell her that you are safe and married to "Brown Bess."	I suppose she addressed them to me in my real name, by which I never thought to ask for them at the post office.
I suppose she addressed them to me in my real name, by which I never thought to ask for them at the post office.	I had news of you in Dublin.  Faith, you've begun early, like your father's son, but I think you could not do better than as you have done. But why did you not write home to your poor mother?  She has sent half-a-dozen letters to you in Dublin.
I had news of you in Dublin.  Faith, you've begun early, like your father's son, but I think you could not do better than as you have done. But why did you not write home to your poor mother?  She has sent half-a-dozen letters to you in Dublin.	Grogan gave me a wink of recognition, but offered no public token of acquaintance and it was not until two days afterwards that he called me into his quarters, and then, shaking hands with me cordially, gave me news which I wanted, of my family.
Grogan gave me a wink of recognition, but offered no public token of acquaintance and it was not until two days afterwards that he called me into his quarters, and then, shaking hands with me cordially, gave me news which I wanted, of my family.	A man of honor dies, but never apologizes.  I'll see the captain hanged before I apologize.
A man of honor dies, but never apologizes.  I'll see the captain hanged before I apologize.	Look here, Roderick, my boy; this is silly business.  The girl will marry Best, mark my words; and as sure as she does, you'll forget her.  You are but a boy.  Best is willing to consider you as such.  Dublin's a fine place, and if you have a mind to take a ride thither and see the town for a month, here are twenty guineas at your service.  Make Best an apology, and be off.
Look here, Roderick, my boy; this is silly business.  The girl will marry Best, mark my words; and as sure as she does, you'll forget her.  You are but a boy.  Best is willing to consider you as such.  Dublin's a fine place, and if you have a mind to take a ride thither and see the town for a month, here are twenty guineas at your service.  Make Best an apology, and be off.	It must have been some other gate.
It must have been some other gate.	Not against Castle Dugan gate, that has been off the hinges these ten years.
Not against Castle Dugan gate, that has been off the hinges these ten years.	But swords are today impossible; Captain Best is -- is lame.  He knocked his knee against the swinging park gate last night, as he was riding home, and can scarce move it now.
But swords are today impossible; Captain Best is -- is lame.  He knocked his knee against the swinging park gate last night, as he was riding home, and can scarce move it now.	I'll match any man with the sword.
I'll match any man with the sword.	Oh, it's with pistols we fight.  You are no match for Best with the sword.
Oh, it's with pistols we fight.  You are no match for Best with the sword.	I hope to spoil this sport, and trust to see this sword of mine in that big bully's body.
I hope to spoil this sport, and trust to see this sword of mine in that big bully's body.	I am Harry James' son, and will act as becomes my name and quality.
I am Harry James' son, and will act as becomes my name and quality.	And now you risk the same fate.  If you are killed, your mother is all alone in the world.
And now you risk the same fate.  If you are killed, your mother is all alone in the world.	It was with this sword that my late father, Harry James, God rest his soul, met Sir Huddelstone Fuddelstone, the Hampshire baronet, and was fatally run through the neck.  He was quite in the wrong, having insulted Lady Fuddelstone, when in liquor, at the Brentford Assembly.  But, like a gentleman, he scorned to apologize.
It was with this sword that my late father, Harry James, God rest his soul, met Sir Huddelstone Fuddelstone, the Hampshire baronet, and was fatally run through the neck.  He was quite in the wrong, having insulted Lady Fuddelstone, when in liquor, at the Brentford Assembly.  But, like a gentleman, he scorned to apologize.	That's a very handsome sword you have there.
That's a very handsome sword you have there.	Your cousins go out with him.
Your cousins go out with him.	My mare is saddled and ready; who's the captain's second?
My mare is saddled and ready; who's the captain's second?	The meeting is arranged.  Captain Best is waiting for you now.
The meeting is arranged.  Captain Best is waiting for you now.	Have you taken my message to him?
Have you taken my message to him?	In faith, I believe you are not; for a lad I never saw more game in my life.  Give me a kiss, my dear boy. You're after my own soul.  As long as Jack Grogan lives, you shall never want a friend or a second.
In faith, I believe you are not; for a lad I never saw more game in my life.  Give me a kiss, my dear boy. You're after my own soul.  As long as Jack Grogan lives, you shall never want a friend or a second.	He'll give the better mark.  I am not afraid of him.
He'll give the better mark.  I am not afraid of him.	Well, if it must be, it must.  For a young fellow, you are the most bloodthirsty I ever saw.  No officer, bearing His Majesty's commission, can receive a glass of wine on his nose, without resenting it -- fight you must, and Best is a huge, strong fellow.
Well, if it must be, it must.  For a young fellow, you are the most bloodthirsty I ever saw.  No officer, bearing His Majesty's commission, can receive a glass of wine on his nose, without resenting it -- fight you must, and Best is a huge, strong fellow.	Mark this, come what will of it, I swear I will fight the man who pretends to the hand of Dorothy Dugan.  I'll follow him if it's into the church, and meet him there. I'll have his blood, or he shall have mine.  Will you take my message to him, and arrange the meeting?
Mark this, come what will of it, I swear I will fight the man who pretends to the hand of Dorothy Dugan.  I'll follow him if it's into the church, and meet him there. I'll have his blood, or he shall have mine.  Will you take my message to him, and arrange the meeting?	And this is the return you make for his kindness!  Didn't he harbor you in his house when your father died, and hasn't he given you and your mother, rent-free, your fine house of Jamesville yonder?
And this is the return you make for his kindness!  Didn't he harbor you in his house when your father died, and hasn't he given you and your mother, rent-free, your fine house of Jamesville yonder?	And so I am.
And so I am.	A pretty day's work of it you have made, Master Roderick.  Knowing your uncle to be distressed for money, and try and break off a match which will bring fifteen hundred a-year into the family?  Best has promised to pay off the four thousand pounds which is bothering your uncle so. He takes a girl without a penny -- a girl that has been flinging herself at the head of every man in these parts these ten years past, and missing them all, and a boy who ought to be attached to your uncle as to your father.
A pretty day's work of it you have made, Master Roderick.  Knowing your uncle to be distressed for money, and try and break off a match which will bring fifteen hundred a-year into the family?  Best has promised to pay off the four thousand pounds which is bothering your uncle so. He takes a girl without a penny -- a girl that has been flinging herself at the head of every man in these parts these ten years past, and missing them all, and a boy who ought to be attached to your uncle as to your father.	Faith, I think you are a lad that's likely to keep your word.
Faith, I think you are a lad that's likely to keep your word.	Dorothy might love me or not, as she likes, but Best will have to fight me before he marries her!
Dorothy might love me or not, as she likes, but Best will have to fight me before he marries her!	The man that marries Dorothy Dugan must first kill me -- do you mind that?
The man that marries Dorothy Dugan must first kill me -- do you mind that?	This is a pretty way to recommend yourself to the family.
This is a pretty way to recommend yourself to the family.	Tut, tut!  I can play at fencing as well as you, Mr. Roderick James. Ah!  You change color, do you?  Your secret is known, is it?  You come like a viper into the bosom of innocent families; you represent yourself as the heir to my friends the O'Higgins of Castle O'Higgins; I introduce you to the nobility and gentry of this methropolis; I take you to my tradesmen, who give you credit.  I accept your note for near two hundred pounds, and what do I find?  A fraud.
Tut, tut!  I can play at fencing as well as you, Mr. Roderick James. Ah!  You change color, do you?  Your secret is known, is it?  You come like a viper into the bosom of innocent families; you represent yourself as the heir to my friends the O'Higgins of Castle O'Higgins; I introduce you to the nobility and gentry of this methropolis; I take you to my tradesmen, who give you credit.  I accept your note for near two hundred pounds, and what do I find?  A fraud.	Repeat the words again, and I run you through the body.
Repeat the words again, and I run you through the body.	You're an impostor, young man, a schemer, a deceiver!
You're an impostor, young man, a schemer, a deceiver!	Sirrah!  Sirrah, I am as good a gentleman as any in Ireland!
Sirrah!  Sirrah, I am as good a gentleman as any in Ireland!	Whom have I been harboring in my house?  Who are you, sirrah?
Whom have I been harboring in my house?  Who are you, sirrah?	I have heard of them.
I have heard of them.	Ah -- I see.  No, I'm afraid mine are the O'Higgins of Watertown.
Ah -- I see.  No, I'm afraid mine are the O'Higgins of Watertown.	Oh, I am thinking of the O'Higgins of Redmondstown.  General O'Higgins was a close friend of my wife's dear father, Colonel Granby Somerset.
Oh, I am thinking of the O'Higgins of Redmondstown.  General O'Higgins was a close friend of my wife's dear father, Colonel Granby Somerset.	Which O'Higgins do you know?  For I have never heard your name mentioned in my family.
Which O'Higgins do you know?  For I have never heard your name mentioned in my family.	Mr. O'Higgins, we are in your debt, and rest assured, sir, you have friends in this house whenever you are in Dublin.  Mister O'Higgins, I wonder if I know your good father?
Mr. O'Higgins, we are in your debt, and rest assured, sir, you have friends in this house whenever you are in Dublin.  Mister O'Higgins, I wonder if I know your good father?	I am only sorry that I was unable to prevent the villain from carrying off all her ladyship's money and pearls.
I am only sorry that I was unable to prevent the villain from carrying off all her ladyship's money and pearls.	Mr. O'Higgins, I cannot say how grateful I am for your timely assistance to my wife.
Mr. O'Higgins, I cannot say how grateful I am for your timely assistance to my wife.	I have said all there is to be said. I am at your disposal for whatever purposes you wish.  Good night.
I have said all there is to be said. I am at your disposal for whatever purposes you wish.  Good night.	Your Grace, if I am so tame as to take this, then I must give up an honorable and lucrative occupation.
Your Grace, if I am so tame as to take this, then I must give up an honorable and lucrative occupation.	Chevalier, if you will have your money now, you must fight for it. If you will be patient, maybe I will pay you something another time.
Chevalier, if you will have your money now, you must fight for it. If you will be patient, maybe I will pay you something another time.	Your Grace owes me seventy thousand frederics, which I have honorably won.
Your Grace owes me seventy thousand frederics, which I have honorably won.	I don't know.
I don't know.	I deny your Grace's accusations, and beg you to say how you have been cheated?
I deny your Grace's accusations, and beg you to say how you have been cheated?	Chevalier, though I cannot say how, I believe you have cheated me.
Chevalier, though I cannot say how, I believe you have cheated me.	The gentleman has nothing contraband.
The gentleman has nothing contraband.	I have no luggage.
I have no luggage.	As you please.
As you please.	All Europe shall hear of this!
All Europe shall hear of this!	Your honor must lower his voice.
Your honor must lower his voice.	Ten thousand?  But the scoundrel owes me seventy thousand.
Ten thousand?  But the scoundrel owes me seventy thousand.	I have orders to gag your honor if you cry out, and to give you this purse containing ten thousand frederics if you do not.
I have orders to gag your honor if you cry out, and to give you this purse containing ten thousand frederics if you do not.	It is shameful -- infamous!  I insist upon being put down at the Austrian ambassador's house.
It is shameful -- infamous!  I insist upon being put down at the Austrian ambassador's house.	You are going to drive to the frontier.
You are going to drive to the frontier.	Good gracious!  What is this?
Good gracious!  What is this?	I will let down the steps for your honor.
I will let down the steps for your honor.	Where is my rascal, Lazlo?
Where is my rascal, Lazlo?	Perfectly certain, because I shall make him tremble.
Perfectly certain, because I shall make him tremble.	Certain?
Certain?	I risk nothing, for I am certain to kill him.
I risk nothing, for I am certain to kill him.	To risk one's life against such people is an imposition.
To risk one's life against such people is an imposition.	It is distasteful to kill a scoundrel -- that should be work for a hangman.
It is distasteful to kill a scoundrel -- that should be work for a hangman.	Sir, we have but eighty thousand florins in bank, or two hundred thousand at three months; if your highness' bags do not contain more than eight thousand, we will meet you.
Sir, we have but eighty thousand florins in bank, or two hundred thousand at three months; if your highness' bags do not contain more than eight thousand, we will meet you.	When the Duke of Courland brought fourteen lackeys each with bags of florins, and challenged our bank to play against the sealed bags, what did we ask?
When the Duke of Courland brought fourteen lackeys each with bags of florins, and challenged our bank to play against the sealed bags, what did we ask?	Then ordering fresh horses, the Chevalier set off on his journey for that capital.  I need not tell you that I was the Chevalier.
Then ordering fresh horses, the Chevalier set off on his journey for that capital.  I need not tell you that I was the Chevalier.	Gentlemen, I wish you a good day. Will you please go to the house from whence we set out this morning, and tell my man there to send my baggage on to Three Kings at Dresden?
Gentlemen, I wish you a good day. Will you please go to the house from whence we set out this morning, and tell my man there to send my baggage on to Three Kings at Dresden?	But how, sir?
But how, sir?	Make your mind easy, you shall not be left behind, I warrant you.  Do take a last look at your barracks, make your mind easy, say a farewell to your friends in Berlin.  The dear souls, how they will weep when they hear you are out of the country, and, out of it, you shall go.
Make your mind easy, you shall not be left behind, I warrant you.  Do take a last look at your barracks, make your mind easy, say a farewell to your friends in Berlin.  The dear souls, how they will weep when they hear you are out of the country, and, out of it, you shall go.	But, if they send you away, then what is to become of me?
But, if they send you away, then what is to become of me?	I have faced that problem before.
I have faced that problem before.	I believe they will deport you.
I believe they will deport you.	Have no fear.  It will come out well for me.
Have no fear.  It will come out well for me.	But they will prevent a meeting at whatever the cost.
But they will prevent a meeting at whatever the cost.	We will practice in the mornings, my boy, and I'll put you up to a thing or two worth knowing.
We will practice in the mornings, my boy, and I'll put you up to a thing or two worth knowing.	I can play as soldiers do, but have no great skill.
I can play as soldiers do, but have no great skill.	The cards are now my only livelihood.  Sometimes I am in luck, and then I lay out my money in these trinkets you see.  It's property, look you, and the only way I have found of keeping a little about me. When the luck goes against me, why, my dear, my diamonds go to the pawnbrokers and I wear paste.  Do you understand the cards?
The cards are now my only livelihood.  Sometimes I am in luck, and then I lay out my money in these trinkets you see.  It's property, look you, and the only way I have found of keeping a little about me. When the luck goes against me, why, my dear, my diamonds go to the pawnbrokers and I wear paste.  Do you understand the cards?	I'd give five years of my life to see the old country again, the greenfields, and the river, and the old round tower, and the burying place.
I'd give five years of my life to see the old country again, the greenfields, and the river, and the old round tower, and the burying place.	And I think he was as much affected as I was at thus finding one of his kindred; for he, too, was an exile from home, and a friendly voice, a look, brought the old country back to his memory again, and the old days of his boyhood.
And I think he was as much affected as I was at thus finding one of his kindred; for he, too, was an exile from home, and a friendly voice, a look, brought the old country back to his memory again, and the old days of his boyhood.	Only the agency of servants.
Only the agency of servants.	Who else can give me information about you?
Who else can give me information about you?	No one, sir.  Before that I served in the army but had to leave due to weakness of the loins.
No one, sir.  Before that I served in the army but had to leave due to weakness of the loins.	For whom else have you worked?
For whom else have you worked?	Herr Seebach was a very kind employer.
Herr Seebach was a very kind employer.	You come highly recommended by Herr Seebach.
You come highly recommended by Herr Seebach.	Yes, sir.
Yes, sir.	Your name is Lazlo Zilagyi?
Your name is Lazlo Zilagyi?	Yes, sir.  Here is my letter.
Yes, sir.  Here is my letter.	You are the young man who M. de Seebach recommended?
You are the young man who M. de Seebach recommended?	Take to your legs, low Irish dog.
Take to your legs, low Irish dog.	That is a trifle strong.
That is a trifle strong.	Very well; but a man who yields takes to his legs.
Very well; but a man who yields takes to his legs.	On the instant.  Everyone must yield to such a nobleman as you.
On the instant.  Everyone must yield to such a nobleman as you.	Then you yield to me.
Then you yield to me.	Very well!  Now that I know it, I will no longer love her.
Very well!  Now that I know it, I will no longer love her.	Perfectly so; and what is more, I will tell you that I love her, and that I am not of a humor to put up with rivals.
Perfectly so; and what is more, I will tell you that I love her, and that I am not of a humor to put up with rivals.	Certainly, monseigneur, does not Your Excellency consider her worthy of love?
Certainly, monseigneur, does not Your Excellency consider her worthy of love?	I entered here, monsieur, at a bad moment for you; it seems that you love this lady.
I entered here, monsieur, at a bad moment for you; it seems that you love this lady.	Old fool!
Old fool!	Lady Cosgrove, you are an old fool.
Lady Cosgrove, you are an old fool.	Roderick, you know well enough that I have never loved but you!  Was I ever so wretched that a kind word from you did not make me happy? Ever so angry, but the least offer of good-will on your part did not bring me to your side?  Did I not give a sufficient proof of my affection for you in bestowing one of the finest fortunes of England upon you?  Have I repined or rebuked you for the way you have wasted it? No, I loved you too much and too fondly; I have always loved you. From the first moment I saw you, I saw your bad qualities, and trembled at your violence; but I could not help loving you.  I married you, though I knew I was sealing my own fate in doing so, and in spite of reason and duty.  What sacrifice do you want from me?  I am ready to make any, so you will but love me, or, if not, that at least, you will gently us me.
Roderick, you know well enough that I have never loved but you!  Was I ever so wretched that a kind word from you did not make me happy? Ever so angry, but the least offer of good-will on your part did not bring me to your side?  Did I not give a sufficient proof of my affection for you in bestowing one of the finest fortunes of England upon you?  Have I repined or rebuked you for the way you have wasted it? No, I loved you too much and too fondly; I have always loved you. From the first moment I saw you, I saw your bad qualities, and trembled at your violence; but I could not help loving you.  I married you, though I knew I was sealing my own fate in doing so, and in spite of reason and duty.  What sacrifice do you want from me?  I am ready to make any, so you will but love me, or, if not, that at least, you will gently us me.	My Lady Cosgrove's relationship with me was a singular one.  Her life was passed in a series of crack-brained sort of alternation between love and hatred for me.  We would quarrel for a fortnight, then we should be friends for a month together sometimes.  One day, I was joking her, and asking her whether she would take the water again, whether she had found another lover, and so forth.  She suddenly burst out into tears, and, after a while, said to me:
My Lady Cosgrove's relationship with me was a singular one.  Her life was passed in a series of crack-brained sort of alternation between love and hatred for me.  We would quarrel for a fortnight, then we should be friends for a month together sometimes.  One day, I was joking her, and asking her whether she would take the water again, whether she had found another lover, and so forth.  She suddenly burst out into tears, and, after a while, said to me:	We then spent an hour in the most eloquent silence except that, from time to time, her ladyship cried out:  "Oh, my God.  Is it true -- I am not dreaming?"
We then spent an hour in the most eloquent silence except that, from time to time, her ladyship cried out:  "Oh, my God.  Is it true -- I am not dreaming?"	As soon as I saw you loved me, I was pleased, and I gave you every opportunity to fall more in love with me, being certain that, for my part, I would never love you.  But after our first kiss, I found that I had no power over myself.  I did not know that one kiss could matter so much.
As soon as I saw you loved me, I was pleased, and I gave you every opportunity to fall more in love with me, being certain that, for my part, I would never love you.  But after our first kiss, I found that I had no power over myself.  I did not know that one kiss could matter so much.	Let me give a thousand kisses to that heavenly mouth which has told me that I am happy.
Let me give a thousand kisses to that heavenly mouth which has told me that I am happy.	Without you, my dearest, I might have died without ever knowing love. Inexpressible love!  God of nature! Bitterness than which nothing is sweeter, sweetness than which nothing is more bitter.  Divine monster which can only be defined by paradoxes.
Without you, my dearest, I might have died without ever knowing love. Inexpressible love!  God of nature! Bitterness than which nothing is sweeter, sweetness than which nothing is more bitter.  Divine monster which can only be defined by paradoxes.	O, my dearest love.  Enough!  I beg you.  Stop believing in your experience.  You have never known love.  My very soul is leaving me! Catch it on your lips, and give me yours!
O, my dearest love.  Enough!  I beg you.  Stop believing in your experience.  You have never known love.  My very soul is leaving me! Catch it on your lips, and give me yours!	Shall I tell you something -- I believed what was called love came after the union -- and I was surprised when my husband, making me a woman, made me know it only by pain, unaccompanied by any pleasure. I saw that my imaginings had stood me in better stead.  And so we became only friends, seldom sleeping together and arousing no curiosity in each other, yet on good terms for a while, as whenever he wanted me, I was at his service, but since the offering was not seasoned with love, he found it tasteless, and seldom demanded it.
Shall I tell you something -- I believed what was called love came after the union -- and I was surprised when my husband, making me a woman, made me know it only by pain, unaccompanied by any pleasure. I saw that my imaginings had stood me in better stead.  And so we became only friends, seldom sleeping together and arousing no curiosity in each other, yet on good terms for a while, as whenever he wanted me, I was at his service, but since the offering was not seasoned with love, he found it tasteless, and seldom demanded it.	Sir William Cosgrove is a man who is dying, and yet I envy him more than any man in Christendom.  He enjoys a privilege of which I am deprived. He may take you in his arms whenever he pleases, and no veil keeps his senses, his eyes, his soul from enjoying your beauty.
Sir William Cosgrove is a man who is dying, and yet I envy him more than any man in Christendom.  He enjoys a privilege of which I am deprived. He may take you in his arms whenever he pleases, and no veil keeps his senses, his eyes, his soul from enjoying your beauty.	My husband has convinced me of the contrary.
My husband has convinced me of the contrary.	Let us give each other complete happiness, and let us be sure that as many times as we satisfy our desires, they will each time be born anew.
Let us give each other complete happiness, and let us be sure that as many times as we satisfy our desires, they will each time be born anew.	Our abstinence makes our love immortal.  If I loved you a quarter of an hour ago, now I should love you even more.  But I should love you less if you exhausted my joy by satisfying all my desires.
Our abstinence makes our love immortal.  If I loved you a quarter of an hour ago, now I should love you even more.  But I should love you less if you exhausted my joy by satisfying all my desires.	I know better than you do.  Love wants a more substantial fare, and if it is stubbornly withheld, it withers away.
I know better than you do.  Love wants a more substantial fare, and if it is stubbornly withheld, it withers away.	Always, my dear one, never any further.  Love is a child to be pacified with trifles.  A full diet can only kill it.
Always, my dear one, never any further.  Love is a child to be pacified with trifles.  A full diet can only kill it.	Will we always leave it at this?
Will we always leave it at this?	I ask only a payment on account today -- after that, you will find me undemanding, obedient and discreet.
I ask only a payment on account today -- after that, you will find me undemanding, obedient and discreet.	Poor man.  And, for that reason, you want to begin where people end?
Poor man.  And, for that reason, you want to begin where people end?	Yes -- but I am afraid of being deceived.
Yes -- but I am afraid of being deceived.	You will do as you please.  It seems to me that such a matter can hardly be discussed until after people know each other.  Do you not agree?
You will do as you please.  It seems to me that such a matter can hardly be discussed until after people know each other.  Do you not agree?	Then I will respectfully take leave of her.
Then I will respectfully take leave of her.	And if she does not choose to show you some kindness?
And if she does not choose to show you some kindness?	With a woman who is completely charming, be she a princess or a woman of the lowest condition, and who, regardless of her rank, will show me some kindness, tonight.
With a woman who is completely charming, be she a princess or a woman of the lowest condition, and who, regardless of her rank, will show me some kindness, tonight.	Be so good as to tell me with whom you think you are?
Be so good as to tell me with whom you think you are?	But you deceive me nonetheless if I believe you, for it will not be in your power to love me when you love me no longer.
But you deceive me nonetheless if I believe you, for it will not be in your power to love me when you love me no longer.	Deceiving someone without knowing it is something new for me.  If I do not know it, I am innocent.
Deceiving someone without knowing it is something new for me.  If I do not know it, I am innocent.	The amusing thing is that you deceive me without knowing, if it is true that you love me.
The amusing thing is that you deceive me without knowing, if it is true that you love me.	To love you until death.  To subscribe to all your commands.
To love you until death.  To subscribe to all your commands.	To make me wretched in two weeks.
To make me wretched in two weeks.	It is my only object.
It is my only object.	You want my heart?
You want my heart?	By loving you, with no hope of possessing you.
By loving you, with no hope of possessing you.	How so?
How so?	I believe you, and I see I must hasten to leave, for otherwise I shall become the unhappiest of men.
I believe you, and I see I must hasten to leave, for otherwise I shall become the unhappiest of men.	A man may need to do that, and find it amusing; but a girl is bound by other laws.
